Site_Name	ID	tag	species	stem	censinyr	growinyr	deathyr	censoryr	yrMIA	postX	postY	localX	localY	x	y	UTM_Easting	UTM_Northing	elevation	diam2011	diam2014	sex2011	sex2014	canopy2011	canopy2014	damage2010	damage2011	damage2014	Notes2011	Notes2014
Noland_Divide	2743.01	7918	piceRube	1	2014	NaN	NaN	NaN	NaN	0	40	5.0	7.0	5.0	47.0	275527.0000	3938449.0000	516.9161	NaN	1.42		N		0	ND				
Noland_Divide	2744.01	7919	piceRube	1	2014	NaN	NaN	NaN	NaN	0	40	1.6	3.9	1.6	43.9	275523.6000	3938445.9000	516.9161	NaN	6.90		UN		1	ND				
Noland_Divide	2745.01	7920	abieFras	1	2014	NaN	NaN	NaN	NaN	0	40	3.4	4.5	3.4	44.5	275525.4000	3938446.5000	516.9161	NaN	9.80		UN		1	ND				
Noland_Divide	2746.01	7921	betuAlle	1	2014	NaN	NaN	NaN	NaN	0	40	2.1	4.7	2.1	44.7	275524.1000	3938446.7000	516.9161	NaN	12.75		UN		2	ND				
Noland_Divide	1632.01	1235	betuAlle	1	2012	NaN	NaN	NaN	NaN	0	50	0.5	0.0	0.5	50.0	275522.5000	3938452.0000	517.9579	6.70	8.80	UN	UN	2	2	ND				
Noland_Divide	1623.01	1236	piceRube	1	2012	NaN	NaN	NaN	NaN	0	50	3.0	1.0	3.0	51.0	275525.0000	3938453.0000	517.9579	5.50	5.80	N	UN	0	1	ND				
Noland_Divide	1624.01	1237	piceRube	1	2012	NaN	NaN	NaN	NaN	0	50	4.5	1.0	4.5	51.0	275526.5000	3938453.0000	517.9579	5.40	6.30	N	UN	1	1	ND				
Noland_Divide	1625.01	1238	abieFras	1	2012	NaN	NaN	NaN	NaN	0	50	6.0	2.4	6.0	52.4	275528.0000	3938454.4000	517.9579	13.60	15.90	UN	UN	2	2	ND				
Noland_Divide	1626.01	1239	abieFras	1	2012	NaN	2014	NaN	NaN	0	50	8.0	2.4	8.0	52.4	275530.0000	3938454.4000	518.1354	4.00	NaN	N		0		ND				
Noland_Divide	1627.01	1240	abieFras	1	2012	NaN	NaN	NaN	NaN	0	50	8.3	2.4	8.3	52.4	275530.3000	3938454.4000	518.1354	9.30	10.00	UN	UN	1	0	ND				
Noland_Divide	1628.01	1241	abieFras	1	2012	NaN	NaN	NaN	NaN	0	50	10.0	0.7	10.0	50.7	275532.0000	3938452.7000	518.1354	12.40	13.20	UN	UN	1	1	ND				
Noland_Divide	1629.01	1242	piceRube	1	2012	NaN	NaN	NaN	NaN	0	50	9.9	2.5	9.9	52.5	275531.9000	3938454.5000	518.1354	5.20	5.50	N	UN	0	0	ND				
Noland_Divide	1630.01	1243	piceRube	1	2012	NaN	NaN	NaN	NaN	0	50	9.8	2.3	9.8	52.3	275531.8000	3938454.3000	518.1354	1.90	1.46	N	N	0	0	ND				
Noland_Divide	1631.01	1244	piceRube	1	2012	NaN	NaN	NaN	NaN	0	50	9.0	2.6	9.0	52.6	275531.0000	3938454.6000	518.1354	5.80	6.50	N	UN	1	1	ND				
Noland_Divide	1633.01	1245	piceRube	1	2012	NaN	NaN	NaN	NaN	0	50	9.8	3.4	9.8	53.4	275531.8000	3938455.4000	518.1354	9.70	11.00	UN	R	1	1	ND				
Noland_Divide	1634.01	1246	piceRube	1	2012	NaN	NaN	NaN	NaN	0	50	9.7	3.4	9.7	53.4	275531.7000	3938455.4000	518.1354	2.60	2.48	N	N	0	0	ND				
Noland_Divide	1635.01	1247	piceRube	1	2012	NaN	NaN	NaN	NaN	0	50	8.9	4.1	8.9	54.1	275530.9000	3938456.1000	518.1354	3.00	2.90	N	N	0	0	ND				
Noland_Divide	1636.01	1248	piceRube	1	2012	NaN	NaN	NaN	NaN	0	50	8.8	4.0	8.8	54.0	275530.8000	3938456.0000	518.1354	10.90	11.40	UN	UN	1	2	ND				
Noland_Divide	1637.01	1249	betuAlle	1	2012	NaN	NaN	NaN	NaN	0	50	6.5	3.5	6.5	53.5	275528.5000	3938455.5000	517.9579	16.30	15.60	UN	UN	1	0	D				
Noland_Divide	1638.01	1250	piceRube	1	2012	NaN	NaN	NaN	NaN	0	50	7.0	3.2	7.0	53.2	275529.0000	3938455.2000	517.9579	2.10	2.02	N	N	0	0	ND				
Noland_Divide	1639.01	1251	abieFras	1	2012	NaN	NaN	NaN	NaN	0	50	2.0	6.0	2.0	56.0	275524.0000	3938458.0000	517.9579	5.10	5.80	N	UN	1	1	ND				
Noland_Divide	1640.01	1252	abieFras	1	2012	NaN	NaN	NaN	NaN	0	50	6.0	5.7	6.0	55.7	275528.0000	3938457.7000	517.9579	2.90	2.88	N	N	1	0	ND				
Noland_Divide	1641.01	1253	piceRube	1	2012	NaN	NaN	NaN	NaN	0	50	6.0	6.5	6.0	56.5	275528.0000	3938458.5000	517.9579	3.00	3.10	N	N	0	0	ND				
Noland_Divide	1642.01	1254	abieFras	1	2012	NaN	NaN	NaN	NaN	0	50	4.0	1.5	4.0	51.5	275526.0000	3938453.5000	517.9579	13.40	14.40	UN	UN	2	2	ND				
Noland_Divide	1643.01	1255	abieFras	1	2012	NaN	NaN	NaN	NaN	0	50	7.0	7.0	7.0	57.0	275529.0000	3938459.0000	517.9579	13.00	14.00	UN	UN	1	1	ND				
