Site_Name	ID	tag	species	stem	censinyr	growinyr	deathyr	censoryr	yrMIA	postX	postY	localX	localY	x	y	UTM_Easting	UTM_Northing	elevation	diam2011	diam2014	sex2011	sex2014	canopy2011	canopy2014	damage	damage2011	damage2014	Notes2011	Notes2014
Purchase_Knob	403.01	2544	querRubr	1	2011	NaN	NaN	NaN	NaN	30	40	9.0	7.5	39.0	47.5	311486.0097	3940213.4650	433.2611	74.12	74.10	UN	UN	2	2	ND	ND	ND		
Purchase_Knob	421.01	2545	amelUNKN	1	2011	NaN	NaN	NaN	NaN	30	40	10.0	6.5	40.0	46.5	311487.1392	3940212.6140	433.2611	4.33	3.97	UN	UN	0	0	D	ND	CD		
Purchase_Knob	332.01	2640	acerPens	1	2011	NaN	NaN	NaN	NaN	30	40	3.0	5.0	33.0	45.0	311480.4161	3940210.1550	433.3461	1.28	1.71	UN	UN	0	0	ND	ND	ND		
Purchase_Knob	308.01	2641	acerPens	1	2011	NaN	NaN	NaN	NaN	30	40	1.0	4.0	31.0	44.0	311478.5747	3940208.8860	433.3461	3.19	3.48	UN	UN	0	0	D	ND	LF		
Purchase_Knob	309.01	2642	acerPens	1	2011	NaN	2014	NaN	NaN	30	40	1.0	4.5	31.0	44.5	311478.5051	3940209.3810	433.3461	2.39	NaN	UN	NA	0	NA	ND	ND	NA		
Purchase_Knob	310.01	2643	querVelu	1	2011	NaN	2014	NaN	NaN	30	40	1.0	9.0	31.0	49.0	311477.8788	3940213.8380	433.3461	4.45	NaN	UN	NA	0	NA	ND	ND	NA		
Purchase_Knob	369.01	2644	amelUNKN	1	2011	NaN	NaN	NaN	NaN	30	40	6.0	8.0	36.0	48.0	311482.9693	3940213.5430	433.3461	8.10	9.30	UN	UN	0	0	D	ND	L		
Purchase_Knob	404.01	7381	querRubr	1	2011	NaN	NaN	NaN	NaN	30	40	9.0	9.0	39.0	49.0	311485.8010	3940214.9510	434.5096	33.60	34.00	UN	UN	1	1	ND	ND	ND		
Purchase_Knob	1020.01	7382	acerPens	1	NaN	2014	NaN	NaN	NaN	30	40	0.5	9.5	30.5	49.5	311477.3141	3940214.2630	433.3461	NaN	0.87	NA	UN	NA	0	ND	NA	ND		
Purchase_Knob	1021.01	7396	acerPens	1	NaN	2014	NaN	NaN	NaN	30	40	0.5	7.4	30.5	47.4	311477.6064	3940212.1830	433.3461	NaN	1.14	NA	UN	NA	0	ND	NA	ND		
Purchase_Knob	1022.01	7903	amelUNKN	2	NaN	2014	NaN	NaN	NaN	30	40	7.5	5.5	37.5	45.5	311484.8027	3940211.2760	433.2611	NaN	1.47	NA	UN	NA	1	ND	NA	ND		
Purchase_Knob	295.01	425	querPrin	1	2011	NaN	NaN	NaN	NaN	30	50	0.2	4.1	30.2	54.1	311476.3768	3940218.7770	434.5039	NaN	42.80	UN	UN	2	2	ND	ND	ND		
Purchase_Knob	349.01	2186	querPrin	1	2011	NaN	NaN	NaN	NaN	30	50	4.5	9.5	34.5	59.5	311479.8834	3940224.7220	435.5651	32.32	33.40	UN	UN	2	2	ND	ND	ND		
Purchase_Knob	395.01	2187	acerRubr	1	2011	NaN	NaN	NaN	NaN	30	50	8.5	5.5	38.5	55.5	311484.4012	3940221.3180	434.5096	26.32	27.50	UN	UN	2	1	ND	ND	ND		
Purchase_Knob	422.01	2188	acerRubr	1	2011	NaN	NaN	NaN	NaN	30	50	10.0	5.0	40.0	55.0	311485.9562	3940221.0320	434.5096	11.11	11.30	UN	UN	1	1	ND	ND	ND		
Purchase_Knob	391.01	2189	tsugCana	1	2011	NaN	NaN	NaN	NaN	30	50	8.0	3.0	38.0	53.0	311484.2540	3940218.7730	434.5096	23.08	23.80	UN	UN	1	1	ND	ND	ND	3	2
Purchase_Knob	381.01	2190	tsugCana	1	2011	NaN	NaN	NaN	NaN	30	50	7.0	3.0	37.0	53.0	311483.2637	3940218.6340	434.5039	6.77	6.90	UN	UN	0	0	ND	ND	ND	1	1
Purchase_Knob	335.01	2191	tsugCana	1	2011	NaN	NaN	NaN	NaN	30	50	3.0	7.0	33.0	57.0	311478.7460	3940222.0380	434.5039	23.99	23.90	UN	UN	1	0	ND	ND	ND	1	1
