plot.id,tree.no,bearing,dist,dbh,occl,species,cr.p,height,h.cr,diameter1,diameter2,notes,date,tree.no.2012
Harv_01_CP,77,324,16.8,18.2,V,Beech,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,78,325,18.9,13.6,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,79,327,18.8,51.5,V,WhitePine,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,80,272,18.3,16.2,NA,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,81,273,18.8,18.9,NA,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,82,273,19,17.6,O,NA,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,83,219,5.5,4.8,NA,Chestnut,S,5.3,1.3,3.1,4.1,NA,2013-09-20,145
Harv_01_CP,84,10.1,3.9,10.9,V,RedMaple,NA,NA,NA,NA,NA,new,2013-09-20,NA
Harv_01_NE,1,0,5,5.9,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,2,8,3.8,16.1,V,BlackBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,3,12.5,3.8,6.5,V,BlackBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,4,17,8.1,53.8,V,Oak,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,5,14,19.8,60.1,P,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,6,22,14.5,10.6,P,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,7,38.5,12.1,15.3,V,BlackBirch,I,19,9,8.8,9.6,NA,2013-09-20,80
Harv_01_NE,8,52,19.2,14.9,V,BlackBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,9,61,15.1,12.7,P,BlackBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
